Date,R1000V,R1000G,R2000V,R2000G
1/2/03,469.91,365.44,571.21,206.75
1/3/03,469.84,377.94,567.57,205.69
1/6/03,483.32,377.66,576.82,209.39
1/7/03,478.47,384.03,571.71,208.05
1/8/03,471.54,382.55,564.58,205.49
1/9/03,479.66,377.35,573.17,209.64
1/10/03,479.27,384.97,573.33,210.12
1/13/03,478.51,385.42,573.12,209.92
1/14/03,481.67,385,576.67,211.02
1/15/03,475.58,386.85,572.78,209.34
1/16/03,473.61,380.92,572.42,208.78
1/17/03,468.66,379.51,563.73,204.76
1/21/03,460.54,373.1,557.06,201.98
1/22/03,455.11,368.12,552.42,200.89
1/23/03,458.17,365.21,556.73,202.65
1/24/03,445.57,369.93,545.13,197.76
1/27/03,437.95,359.17,536.65,193.98
1/28/03,443.22,353.56,542.78,196.61
1/29/03,446.36,358.4,544.09,197.91
1/30/03,437.09,360.63,534.31,193.83
1/31/03,443.96,352.29,541.76,195.91
2/3/03,446.4,356.31,539.61,194.66
2/4/03,440.71,357.62,537.81,193.69
2/5/03,437.95,352.46,535.24,192.8
2/6/03,434.17,350.91,532.21,191.52
2/7/03,429.92,349.39,522.79,188.67
2/10/03,432.71,345.8,528.22,190.19
2/11/03,428.4,348.61,523.98,189.49
2/12/03,422.07,346.58,517.86,186.88
2/13/03,422.19,342.53,517.3,186.42
2/14/03,429.65,340.99,520.74,189.14
2/18/03,437.15,348.5,529.21,192.44
2/19/03,433.74,356.29,523.09,190.17
2/20/03,429.44,354.15,521.7,190.11
2/21/03,434.96,351.38,528.51,192.5
2/24/03,427.24,356.18,519.54,189.29
2/25/03,430.28,349.74,524.55,190.6
2/26/03,424.79,352.31,519.69,188.96
2/27/03,429.5,347.74,524.49,190.89
2/28/03,430.96,352.05,522.74,190.56
3/3/03,429.49,354.2,521.67,189.66
3/4/03,422.95,350.41,518.07,188
3/5/03,426.66,345.23,518.51,187.87
3/6/03,421.58,348.36,514.06,186.64
3/7/03,424.81,346.26,514.53,186.84
3/10/03,413.7,349.06,506.24,183.33
3/11/03,409.31,340.66,505.06,182.71
3/12/03,408.88,338.51,503.21,182.25
3/13/03,421.77,340.99,515.38,187.87
3/14/03,423.2,353.42,513.63,187.4
3/17/03,436.32,353.33,528.85,193.5
3/18/03,437.96,366.66,531.8,195.18
3/19/03,441.73,368.5,532.87,195.33
