Date,SPX,NWL,MSFT,SPX Rtn,NWL Rtn,MSFT Rtn
1/3/00,1441.47,72.27,47.63,,,
1/10/00,1465.15,70.53,47.98,0.016427675,-0.02407638,0.00734831
1/18/00,1441.36,70.28,44.34,-0.016237245,-0.003544591,-0.075864944
1/24/00,1360.16,69.53,41.99,-0.056335683,-0.010671599,-0.052999549
1/31/00,1424.37,70.53,45.54,0.047207681,0.014382281,0.084543939
2/7/00,1387.12,70.53,42.71,-0.026151913,0,-0.062143171
2/14/00,1346.09,70.28,40.63,-0.029579272,-0.003544591,-0.048700539
2/22/00,1333.36,70.03,39.03,-0.00945702,-0.0035572,-0.039379769
2/28/00,1409.17,72.64,41.08,0.056856363,0.037269742,0.0525237
3/6/00,1395.07,71.77,43.17,-0.01000589,-0.011976872,0.050876339
3/13/00,1464.47,72.77,42.47,0.049746608,0.013933398,-0.016214964
3/20/00,1527.46,74.7,47.74,0.043012148,0.026521918,0.124087591
3/27/00,1498.58,80.74,45.41,-0.018907205,0.08085676,-0.048806033
4/3/00,1516.35,75.76,38.06,0.011857892,-0.061679465,-0.161858621
4/10/00,1356.56,67.16,31.68,-0.105378046,-0.113516367,-0.167630058
4/17/00,1434.54,67.04,33.74,0.057483635,-0.001786778,0.065025253
4/24/00,1452.43,74.2,29.81,0.012470897,0.106801909,-0.116478957
5/1/00,1432.63,78.52,30.4,-0.013632327,0.058221024,0.019792016
5/8/00,1420.96,77.25,29.41,-0.008145858,-0.016174223,-0.032565789
5/15/00,1406.95,74.64,27.81,-0.009859532,-0.033786408,-0.054403264
5/22/00,1378.02,72.77,26.26,-0.020562209,-0.025053591,-0.055735347
5/30/00,1477.26,74.64,28.34,0.072016371,0.025697403,0.079207921
6/5/00,1456.95,71.52,29.41,-0.013748426,-0.041800643,0.037755822
6/12/00,1464.46,72.27,31.01,0.005154604,0.010486577,0.054403264
6/19/00,1441.48,69.78,33.2,-0.015691791,-0.03445413,0.07062238
6/26/00,1454.6,71.77,34.19,0.009101757,0.0285182,0.029819277
7/3/00,1478.9,69.34,35.05,0.016705624,-0.033858158,0.025153554
7/10/00,1509.98,69.78,33.74,0.02101562,0.006345544,-0.037375178
7/17/00,1480.19,70.28,30.91,-0.019728738,0.007165377,-0.083876704
7/24/00,1419.89,71.77,29.79,-0.040738013,0.021200911,-0.036234228
7/31/00,1462.93,75.64,29.54,0.030312207,0.053922252,-0.008392078
8/7/00,1471.84,75.76,30.96,0.006090517,0.001586462,0.048070413
8/14/00,1491.72,75.64,30.35,0.013506903,-0.001583949,-0.019702842
8/21/00,1506.45,70.78,30.18,0.009874507,-0.064251719,-0.005601318
8/28/00,1520.77,69.34,30,0.009505792,-0.02034473,-0.005964215
9/5/00,1494.5,71.77,29.62,-0.017274144,0.035044707,-0.012666667
