Date,R1000V,R1000G,R2000V,R2000G
12/31/04,656.83,494.22,960.15,338.42
1/3/05,650.3,493.41,945.1,332.13
1/4/05,643.05,489.47,930.24,324.91
1/5/05,639.86,482.68,912.61,319.68
1/6/05,642.86,480.74,915.92,320.94
1/7/05,640.82,481.75,906.01,317.58
1/10/05,642.6,482.12,912.46,320.01
1/11/05,638.51,484.63,904.88,316.18
1/12/05,640.61,481.63,906.52,317.36
1/13/05,637.36,483.74,901.84,315.83
1/14/05,641.33,478.59,913.23,319.43
1/18/05,648.68,481.6,923.17,323.65
1/19/05,643.12,485.2,914.47,319.43
1/20/05,639.02,480.09,906.14,316.59
1/21/05,635.95,476.03,904.71,315.76
1/24/05,635.39,472.34,897.37,311.47
1/25/05,636.24,468.72,899.21,312.9
1/26/05,639.12,471.45,911.93,318.95
1/27/05,639.3,474.29,911.76,319.37
1/28/05,638.1,474.64,906.95,316.99
1/31/05,644.31,473.05,922.23,323.08
2/1/05,649.86,476.71,927.69,325.46
2/2/05,652.27,479.43,933.8,327.27
2/3/05,651.77,480.79,930.61,325.62
2/4/05,659.12,478.43,941.41,330.29
2/7/05,658.19,484,940.03,329.92
2/8/05,658.6,483.6,942.4,331.29
2/9/05,654.33,483.9,926.21,323.39
2/10/05,657.52,478.42,928.51,323.69
2/11/05,660.96,479.81,938.74,328.39
2/14/05,661.9,484.19,939.37,328.44
2/15/05,663.88,484.48,939.19,328.41
2/16/05,665.35,486.06,945.19,330.36
2/17/05,660.3,485.24,934.35,326.15
2/18/05,660.2,481.53,932.88,325.62
2/22/05,649.94,482.09,914.15,319.57
2/23/05,654.94,475.55,918.1,320.89
2/24/05,660.35,476.93,927.85,324.77
2/25/05,667.69,480.8,943.78,329.47
2/28/05,663.87,484.62,939.33,327.41
3/1/05,666.69,481.16,947.1,329.27
3/2/05,666.85,484.92,944.53,328.95
3/3/05,667.41,484.48,948.36,328.52
3/4/05,675.17,483.86,960.32,331.16
3/7/05,676.09,487.36,958.69,330.6
3/8/05,673.66,489.9,950.5,327.37
3/9/05,664.76,486.7,940.52,323.71
3/10/05,665.52,483.32,934.47,321.54
3/11/05,662.66,484.35,935.25,321.13
3/14/05,667.81,479.71,940.98,322.69
3/15/05,663.28,482.09,935.98,320.83
3/16/05,657.53,478.51,930.69,318.62
3/17/05,659.87,474.5,935.51,319.53
3/18/05,660.5,474.36,931.58,317.9
3/21/05,656.74,473.24,928.5,318
3/22/05,648.9,471.92,923.55,316.66
3/23/05,647.17,468.37,913.18,313.56
3/24/05,646.53,470.07,917.44,315.41
3/28/05,647.61,470.05,917.37,315.28
3/29/05,642.73,471.04,902.81,309.48
3/30/05,651.38,467.35,917.76,314.88
3/31/05,653.52,473.82,918.07,314.96
4/1/05,651.29,471.97,913.13,313.03
4/4/05,651.95,467.72,916.95,313.95
4/5/05,652.95,469.6,917.88,314.41
4/6/05,655.73,473.13,920.16,315.39
4/7/05,658.62,472.96,925.34,317.26
4/8/05,653.18,476.74,911.83,312.66
4/11/05,653.85,472.83,906.13,310.97
4/12/05,657.14,472.11,916.51,313.34
4/13/05,649.04,474.94,901.3,307.8
4/14/05,641.87,469.82,885.8,302.24
4/15/05,630.17,465.6,869.92,296.22
4/18/05,633.48,459.27,877.56,298.23
4/19/05,638.68,459.39,890.49,303.69
4/20/05,629.27,461.77,874.91,298.85
4/21/05,640.56,456.33,893.94,306.76
4/22/05,638.05,465.44,881.62,301.23
4/25/05,644.58,460.87,891.73,304.85
4/26/05,638.57,464.51,879.63,299.97
4/27/05,640.65,461.04,879.56,299.43
4/28/05,632.64,463.04,862.2,292.94
4/29/05,640.67,458.25,869.64,294.81
5/2/05,643.63,462.76,879.65,298
5/3/05,641.84,464.87,877.04,297.51
5/4/05,650.11,465.85,893.01,303.03
5/5/05,648.51,471.28,892.4,303.72
5/6/05,647.07,470.62,893.63,304.2
5/9/05,651.72,470.97,902.96,307.56
5/10/05,644.56,473.53,892.47,303.05
5/11/05,646.75,469.38,893.56,303.2
5/12/05,637.85,471.74,878.3,299.64
5/13/05,632.08,469.08,869.5,297.73
5/16/05,638.32,469.03,885.19,302.23
5/17/05,643.5,474.07,890.99,303.86
5/18/05,650.25,476.83,908.35,310.88
5/19/05,653.46,481.87,911.57,312.45
5/20/05,652.5,484.03,911.3,311.41
5/23/05,655.25,483.66,915.86,313.41
5/24/05,654.54,485.34,915.86,313.5
5/25/05,652.65,485.94,906.41,310.02
5/26/05,656.24,483.41,917.79,314.66
5/27/05,657.81,487.32,921.48,315.63
5/31/05,654.73,487.35,921.33,315.48
6/1/05,660.59,484.47,933.24,318.53
6/2/05,661.05,488.74,934.37,319.73
6/3/05,658.12,490.59,928.05,316.8
6/6/05,659.03,486.25,932.87,317.81
6/7/05,658.91,486.88,934.4,318.14
6/8/05,658.14,486.7,931.02,315.84
6/9/05,661.68,485.02,938.59,319.19
6/10/05,661.81,487.58,939.37,318.99
6/13/05,663.05,485.07,943.77,320.22
6/14/05,664.7,486.47,953.02,322.5
6/15/05,666.8,487.77,957.78,323.71
6/16/05,669.68,488.28,966.44,327.8
6/17/05,674.05,490.05,966.69,327.88
6/20/05,673.68,491.26,963.34,326.62
6/21/05,671.6,491,962.19,326.2
6/22/05,671.89,490.56,965.12,327.69
6/23/05,664.85,490.58,951.27,322.88
6/24/05,660.47,485.53,945.91,320.91
6/27/05,660.67,480.94,943.94,319.43
6/28/05,664.95,480.35,963.18,326.32
6/29/05,664.64,486.21,965.35,326.88
6/30/05,660.46,485.39,960.18,325.48
7/1/05,663.2,482.29,966.05,326.93
7/5/05,668.88,483.26,980.01,332.57
7/6/05,662.95,487.43,971.29,330.49
7/7/05,664.52,484.13,972.14,331.25
7/8/05,670.88,485.68,990.63,338.05
7/11/05,674.52,492.4,1004.9,342.98
7/12/05,675.68,495.99,1003.45,342.51
7/13/05,676.42,497.46,999.28,340.73
7/14/05,676.28,497.42,990.96,338.84
7/15/05,676.96,499.48,991.47,339.4
7/18/05,672.7,500.43,983.84,336.72
7/19/05,675.57,498.39,999.55,341.87
7/20/05,678.38,503.04,1012.63,346.29
7/21/05,672.79,505.76,995.93,341.32
7/22/05,678.02,502.88,1013.97,346.06
7/25/05,676.33,504.16,1003.76,342.6
7/26/05,676.85,501.38,1009.7,344.25
7/27/05,679.4,502.99,1009.61,344.59
7/28/05,683.12,505.6,1020.13,349.33
7/29/05,678.27,509.07,1013.74,348.15
8/1/05,678.56,505.65,1017.12,350.13
8/2/05,683.54,506.51,1026.28,352.83
8/3/05,684.05,510.08,1018.04,350.4
8/4/05,679.58,510.31,1000.92,344.46
8/5/05,672.94,505.8,986.25,340.23
8/8/05,671,502.38,980.96,338.78
8/9/05,675.33,500.2,982.91,339.01
8/10/05,675.58,503.42,981.19,339.28
8/11/05,680.3,501.69,990.5,342.44
8/12/05,677.32,505.29,980.67,339.29
8/15/05,678.82,502.12,989.07,342.19
8/16/05,671.97,503.77,973.14,336.36
8/17/05,671.18,497.48,973.82,336.34
8/18/05,670.37,498.54,967.82,334.68
8/19/05,671.52,497.88,969.8,335.35
8/22/05,672.96,497.59,977.61,337.75
8/23/05,670.65,498.2,973.77,337.02
8/24/05,666.83,496.89,973.54,336.63
8/25/05,668.54,493.84,979.1,337.47
8/26/05,663.93,494.88,964.31,333.28
8/29/05,667.03,492.17,973.77,333.48
8/30/05,665.97,492.76,970.74,336.31
8/31/05,673.47,493.7,989.07,343.08
9/1/05,676.76,498.49,992.14,344.02
9/2/05,674.29,497.41,985.29,341.12
9/6/05,681.18,496.18,1001.45,346.99
9/7/05,682.72,503.32,1003.13,349.34
9/8/05,680.17,504.83,996.25,347.75
9/9/05,686.6,502.93,1003.23,350.05
9/12/05,685.34,505.97,1007.56,351.4
9/13/05,679.91,506.45,995.89,347.53
9/14/05,679.76,502.99,987.07,343.61
9/15/05,680.45,499.64,986.94,342.7
9/16/05,687.44,499.54,996.03,346.3
9/19/05,684.56,502.06,987.97,343.99
9/20/05,679.5,498.64,977.91,340.9
9/21/05,673.12,494.64,962.5,335.23
9/22/05,674.33,489.94,965.28,335.53
9/23/05,673.92,492.33,971.28,337.87
9/26/05,675.44,493.49,977.47,340.61
9/27/05,675.12,493.21,975.22,340.32
9/28/05,676.02,493.49,969.05,339.25
9/29/05,682.6,493.63,982.25,343.92
9/30/05,681.97,497.91,985.57,345.62
10/3/05,681.32,500.35,988.93,347.26
10/4/05,672.7,500.32,978.54,343.99
10/5/05,661.62,496.52,950.98,334.13
10/6/05,658.24,489.25,945.63,330.29
10/7/05,661.01,486.88,952.96,332.77
10/10/05,655.18,488.49,943.72,329.42
10/11/05,654.15,485.74,932.35,325.25
10/12/05,648.88,484.1,921.71,320.17
10/13/05,645.99,481.01,923.9,321.17
10/14/05,651.84,482.08,937.51,326.62
10/17/05,654.66,486.27,937.29,326.92
10/18/05,646.03,487.39,925.71,322.69
10/19/05,654.38,483.86,945.66,329.07
10/20/05,642.47,491.6,929.3,323.69
10/21/05,644.62,486.02,937.9,326.05
10/24/05,657.01,487.2,958.61,333.14
10/25/05,656.72,494.19,951.18,331.74
10/26/05,654.22,491.91,943.94,329.81
10/27/05,647.96,489.3,925.12,321.52
10/28/05,659.34,482.87,944.27,326.51
10/31/05,663.57,490.1,959.72,332.76
11/1/05,662.3,495.21,954.37,330.92
11/2/05,668.74,492.97,973.83,338.62
11/3/05,670.12,498.3,974.09,340.31
11/4/05,669.04,501.45,973.36,339.94
11/7/05,669.78,502.31,978.1,341.46
11/8/05,667.83,504,969.4,339.33
11/9/05,669.37,501.7,975.84,340.79
11/10/05,673.41,502.19,983.56,343.37
11/11/05,675.96,507.45,986.09,344.27
11/14/05,675.49,508.65,981.36,343.1
11/15/05,671.63,508.14,969.33,339.35
11/16/05,671.91,507.09,966.22,338.79
11/17/05,678.15,508.36,983.3,345.74
11/18/05,681.94,513.69,990.22,348.58
11/21/05,686.09,515.09,998.73,352.57
11/22/05,689.85,517.85,1002.74,354.88
11/23/05,692.97,520.3,1004.91,354.72
11/25/05,694.5,521.6,1005.15,355.1
11/28/05,688.04,522.81,988.97,348.27
11/29/05,688.64,518.05,992.39,349.34
11/30/05,682.81,517.7,996.95,351.46
12/1/05,691.2,515.91,1015.69,358.26
12/2/05,690.86,522.23,1014.34,359.12
12/5/05,690.52,522.94,1007.42,357.39
12/6/05,690.98,520.72,1009.09,357.85
12/7/05,686.74,521.63,1002.41,355.47
12/8/05,686.85,519.57,1005.69,356.61
12/9/05,688.21,518.83,1011.45,358.26
12/12/05,688.19,520.62,1012.2,358.79
12/13/05,693.28,521.51,1012.06,358.32
12/14/05,696.99,523.22,1014.64,358.94
12/15/05,695.13,524.58,1005.18,356.29
12/16/05,693.09,524.34,1002.85,355.39
12/19/05,690.8,522.93,987.64,349.51
12/20/05,690.77,518.15,988.2,349.87
12/21/05,692.24,518.1,995.83,354.39
12/22/05,695.01,519.88,1002.32,356.61
12/23/05,695.18,522.31,1005.79,357.83
12/27/05,688.84,522.83,992.29,352.36
12/28/05,689.53,517.76,997.18,354.27
12/29/05,688.39,518.81,993.94,353.2
12/30/05,685.95,516.8,987.08,350.7
1/3/06,697.68,513.71,1002.6,356.47
1/4/06,699.73,521.13,1009.18,359.55
1/5/06,700.04,523.78,1011.79,361.23
1/6/06,706.15,523.9,1021.17,365.82
1/9/06,708.42,529.14,1030.32,369.7
1/10/06,708.62,531.64,1038.5,371.76
1/11/06,710.96,531.6,1038.1,372.1
1/12/06,706.74,533.18,1031.31,369.93
1/13/06,709.03,529.63,1033.84,370.75
1/17/06,707.33,529.36,1026.85,368.21
1/18/06,704.97,526.93,1028.7,367.73
1/19/06,709.04,524.54,1042.34,374.49
1/20/06,697.65,527.43,1028.22,368.74
1/23/06,700.2,516.09,1035.01,369.7
1/24/06,702.04,516.11,1049.74,375.09
1/25/06,701.15,518.25,1048.06,374.06
1/26/06,706.79,516.74,1062.72,381.36
1/27/06,712.09,519.96,1067.62,383.5
1/30/06,713.38,523.61,1063.76,383.45
1/31/06,711.58,523.86,1067.81,384.44
2/1/06,711.76,522.44,1071.72,385.44
2/2/06,705.48,523.93,1056.86,381.09
2/3/06,701.98,519.38,1054.44,379.83
2/6/06,704.45,516.34,1060.72,381.44
2/7/06,698.16,515.46,1046.14,375.47
2/8/06,702.93,511.6,1051.66,377.65
2/9/06,702.01,516.1,1046.85,376.24
2/10/06,702.94,515.28,1046.43,375.32
2/13/06,700.92,516.76,1037.52,371.62
2/14/06,707.44,514.21,1051.82,376.11
2/15/06,709.49,519.67,1059.29,379.06
2/16/06,715.74,522.12,1068.72,382.81
2/17/06,716.19,525.47,1067.56,382.21
2/21/06,715.01,523.72,1061.37,380.08
2/22/06,720.79,521.09,1072.22,383.26
2/23/06,718.19,524.81,1069.93,382.94
2/24/06,719.76,523.17,1076.05,385.1
2/27/06,720.88,523.56,1080.93,387.55
2/28/06,713.9,526.77,1066.5,382.27
3/1/06,718.91,520.82,1082.64,388.72
3/2/06,718.11,525.92,1078.15,388.02
3/3/06,716.89,524.82,1075.59,387.14
3/6/06,711.69,523.99,1067.01,382.62
3/7/06,710.25,520.69,1052.95,377.1
3/8/06,710.66,518.84,1055.41,377.06
3/9/06,707.88,520.19,1050.63,375.05
3/10/06,712.98,517.25,1063.52,378.88
3/13/06,714.92,520.69,1065.04,380.1
3/14/06,722.38,521.36,1077.42,384.11
