Date,SP100,Amex,Cisco
3-Jan-00,788.79,43.38,54.03
4-Jan-00,759.01,41.75,51
5-Jan-00,761.52,40.75,50.85
6-Jan-00,762.64,41.58,50
7-Jan-00,783.49,42.18,52.94
10-Jan-00,790.92,42.77,54.9
11-Jan-00,785.25,43.17,53.25
12-Jan-00,782.73,42.94,51.9
13-Jan-00,787.96,43.17,53.1
14-Jan-00,797.52,44.14,53.78
18-Jan-00,795.68,41.94,56
19-Jan-00,790.31,41.21,56.15
20-Jan-00,783.33,41.9,56.19
21-Jan-00,779.78,41.97,57.62
24-Jan-00,758.74,42.06,54.53
25-Jan-00,767.31,43.82,56.06
26-Jan-00,762.79,44.2,53.6
27-Jan-00,759.61,45.09,53.31
28-Jan-00,738.04,43.79,51.94
31-Jan-00,754.26,45.59,54.75
1-Feb-00,766.89,46.76,58.9
2-Feb-00,763.92,45.43,56.94
3-Feb-00,771.96,45.07,58.9
4-Feb-00,775.51,44.67,60.56
7-Feb-00,774.19,44.95,62.6
8-Feb-00,782.21,45.1,62.9
9-Feb-00,765.47,43.32,64.4
10-Feb-00,768.98,42.75,67.97
11-Feb-00,752.04,42.48,65.47
14-Feb-00,756.8,42.61,65.25
15-Feb-00,763.06,44.03,64
16-Feb-00,754.2,42.57,63.58
17-Feb-00,752.19,40.94,65.25
18-Feb-00,728.52,38.26,62.9
22-Feb-00,731.58,38.5,61.97
23-Feb-00,736.3,35.97,69.32
24-Feb-00,731.16,35.97,68.62
25-Feb-00,719.78,34.52,66.38
28-Feb-00,727.75,36.7,65.28
29-Feb-00,738.64,37.13,66.1
1-Mar-00,743.54,37.49,65.85
2-Mar-00,750.26,36.96,66.38
3-Mar-00,765.95,36.94,68.72
6-Mar-00,752.96,35.77,68.07
7-Mar-00,732.25,34.97,66.03
8-Mar-00,739.86,33.97,66.19
9-Mar-00,756.97,33.97,69.65
10-Mar-00,749.5,35.06,68.19
13-Mar-00,743,35.02,68.1
14-Mar-00,730.75,35.54,65.88
15-Mar-00,749.3,36.77,64.32
16-Mar-00,781.93,39.78,65.83
17-Mar-00,786.74,39.74,67.5
20-Mar-00,785.3,39.29,67.07
21-Mar-00,806.87,40.37,70.43
22-Mar-00,810.55,40.88,72.19
23-Mar-00,831.7,43.17,77.81
24-Mar-00,832.65,43.06,79.37
27-Mar-00,830.17,41.65,80.06
28-Mar-00,821.4,42.2,77.87
29-Mar-00,827.5,41.96,76.06
30-Mar-00,813.81,41.23,73.62
31-Mar-00,815.06,41.21,77.31
3-Apr-00,820.62,43.03,72.94
4-Apr-00,813.29,40.68,73.12
5-Apr-00,806.29,39.99,72.12
6-Apr-00,814.09,39.02,71.81
7-Apr-00,821.52,38.48,74.94
10-Apr-00,817.14,39.62,72.56
11-Apr-00,816.76,40.18,70
12-Apr-00,792.9,41.71,65
13-Apr-00,777.29,40.4,61.13
14-Apr-00,731.96,37.08,57
17-Apr-00,762.49,37.08,66.5
18-Apr-00,785.92,38.72,69.25
19-Apr-00,771.62,38.6,66.12
20-Apr-00,777.12,39.64,65.12
24-Apr-00,772.55,41.6,63.44
25-Apr-00,795.55,43.8,66
26-Apr-00,789.07,42.86,66.75
27-Apr-00,790.7,42.96,69
28-Apr-00,781.42,41.44,69.33
1-May-00,791.12,41.96,71.44
2-May-00,779.25,41.04,68
3-May-00,761.18,39.36,66.06
4-May-00,756.81,40.12,63.63
5-May-00,769.79,40.64,67.75
8-May-00,763.59,42.15,62.75
9-May-00,757.82,41.02,62.75
10-May-00,739.91,39.74,58.5
11-May-00,754.74,41.16,60.25
12-May-00,761.67,41.79,59.94
15-May-00,776.53,43.4,60
16-May-00,784.23,42.51,60.56
17-May-00,772.53,42.36,58
18-May-00,766.83,43.09,55.38
19-May-00,752.95,41.84,53.44
22-May-00,748.04,41.27,55.25
23-May-00,732.55,42.2,50.55
24-May-00,747.1,41.58,55.13
25-May-00,736.95,40.64,54.5
26-May-00,736.08,40.8,54.94
30-May-00,761.42,42.1,59.88
31-May-00,761.55,44.9,56.94
1-Jun-00,777.59,44.8,60.94
2-Jun-00,792.69,46.26,64.37
5-Jun-00,790.75,46.26,63.25
6-Jun-00,783.39,44.9,61.31
7-Jun-00,791.13,46.93,62.88
8-Jun-00,785.33,45.74,63.69
9-Jun-00,779.7,44.62,64.37
12-Jun-00,774.25,44.62,62.13
13-Jun-00,789.43,45.32,65
14-Jun-00,790.35,47.19,65.19
15-Jun-00,798.88,46.15,66.5
16-Jun-00,788.74,42.83,67.81
19-Jun-00,802.91,44.49,68.94
20-Jun-00,797.56,44.9,67.12
21-Jun-00,800,43.76,67.44
22-Jun-00,785.09,44.44,64.56
23-Jun-00,781.07,44.59,62.63
26-Jun-00,789.21,46.72,62.81
27-Jun-00,784.94,45.06,62.25
28-Jun-00,788,44.28,63.56
29-Jun-00,779.74,43.66,61.19
30-Jun-00,790.25,43.35,63.56
3-Jul-00,796.03,43.55,64.62
5-Jul-00,783.37,43.41,61.88
6-Jul-00,789.92,43.26,64.75
7-Jul-00,803,44.77,65.37
10-Jul-00,799.59,45.7,63.13
11-Jul-00,801.05,45.03,62.13
12-Jul-00,805.91,45.81,63.88
13-Jul-00,808.03,45.86,65.25
14-Jul-00,815.52,47.11,68.25
17-Jul-00,817.75,46.9,69.62
18-Jul-00,807.19,45.96,67.25
19-Jul-00,802.95,45.86,66.81
20-Jul-00,813.09,47.37,69.5
21-Jul-00,804.55,49.35,68.12
24-Jul-00,795.83,47.52,66.06
25-Jul-00,802.44,46.54,68.12
26-Jul-00,791.19,46.33,68.56
27-Jul-00,793.04,48.57,68
28-Jul-00,776.18,46.64,62.81
31-Jul-00,782.64,47.21,65.44
1-Aug-00,784.01,47.42,63.19
2-Aug-00,783.02,47.78,60.94
3-Aug-00,791.14,48.3,64.37
4-Aug-00,795.85,49.81,65.56
7-Aug-00,803.72,48.57,66.25
8-Aug-00,805.96,48.93,65.5
9-Aug-00,807.06,49.66,67.81
10-Aug-00,799.04,48.83,63.38
11-Aug-00,804.75,49.76,64.31
14-Aug-00,816.34,49.97,64.5
15-Aug-00,811.81,49.29,63.19
16-Aug-00,806.91,47.73,63.06
17-Aug-00,815.09,48.72,63.44
18-Aug-00,813.64,48.72,63.5
21-Aug-00,818.44,49.24,65.5
22-Aug-00,818.58,48.25,64.81
23-Aug-00,822.81,47.73,67.19
24-Aug-00,825.15,47.06,66.5
25-Aug-00,823.55,47.11,65.5
28-Aug-00,829.19,49.09,66.06
29-Aug-00,827.3,49.09,66.56
30-Aug-00,820.93,49.09,66.56
31-Aug-00,827.41,49.15,68.62
1-Sep-00,829.83,48.67,68.56
5-Sep-00,823.49,49.76,66
6-Sep-00,814.28,49.97,64.25
7-Sep-00,818.03,49.4,66.25
8-Sep-00,812.9,50.49,63.88
11-Sep-00,808.12,51.48,61.19
12-Sep-00,802.57,51.12,58.88
13-Sep-00,803.02,51.06,61.31
14-Sep-00,799.34,50.65,61.25
15-Sep-00,789.77,49.4,62.75
18-Sep-00,778.93,48.3,60.06
19-Sep-00,787.77,49.81,62
20-Sep-00,782.55,48.3,63.13
21-Sep-00,780.39,48.51,61.13
22-Sep-00,774.08,48.93,60.31
25-Sep-00,766.01,49.97,57.19
26-Sep-00,756.87,49.61,55.19
27-Sep-00,758.63,48.93,57.31
28-Sep-00,773.32,50.75,59.44
29-Sep-00,759.83,50.6,55.25
2-Oct-00,763.26,52.47,55.5
3-Oct-00,758.03,51.22,56.25
4-Oct-00,762.03,50.77,58.56
5-Oct-00,764.45,50.87,57.56
6-Oct-00,750.97,48.32,56.19
9-Oct-00,744.23,47.22,53.69
10-Oct-00,737.68,46.28,51.13
11-Oct-00,724.02,45.34,51.19
12-Oct-00,703.68,43.26,49.81
13-Oct-00,729.01,44.98,56.06
16-Oct-00,725.48,46.49,54.5
17-Oct-00,711.72,44.82,54.56
18-Oct-00,706.77,45.24,52.25
19-Oct-00,733.89,46.75,58.25
20-Oct-00,738.16,46.75,57.31
23-Oct-00,734.35,45.34,55.88
24-Oct-00,738.42,47.64,54.88
25-Oct-00,719.14,47.85,50.63
26-Oct-00,720.62,45.4,53.56
27-Oct-00,726.18,46.54,50.69
30-Oct-00,732.77,48.73,48.06
31-Oct-00,750.93,50.04,53.88
1-Nov-00,748.39,48.68,52.13
2-Nov-00,753.52,48.06,55.75
3-Nov-00,751.7,49.72,56.75
6-Nov-00,755.44,50.56,55.13
7-Nov-00,756.3,50.82,56.75
8-Nov-00,743.32,48.37,52.13
9-Nov-00,739.21,48.58,53.25
10-Nov-00,719.11,47.59,50.06
13-Nov-00,712.16,46.6,50.38
14-Nov-00,729.67,47.79,53.13
15-Nov-00,733.3,48.11,53.56
16-Nov-00,724.18,48.16,51.06
17-Nov-00,725.09,46.75,52.75
20-Nov-00,710.04,43.89,51.25
21-Nov-00,713.7,44.41,53.69
22-Nov-00,700.72,43.21,50.56
24-Nov-00,711.16,42.84,52.69
27-Nov-00,714.78,44.2,51.25
28-Nov-00,708.47,45.97,51
29-Nov-00,712.47,47.48,51.69
30-Nov-00,697.28,45.81,47.88
1-Dec-00,695.99,45.24,48.5
4-Dec-00,701.27,43.36,45.81
5-Dec-00,732.09,45.03,52.13
